datetime,open,high,low,close,volume
2022-10-25,130.88000,138.35001,130.59000,137.50999,38433200
2022-10-24,127.25000,133.48000,124.57000,129.72000,63563400
2022-10-21,126.31000,130.12000,125.44000,130.00999,46195500
2022-10-20,132.92999,136.77000,131.31000,131.53000,26356300
2022-10-19,132.89000,137.00000,132.22000,133.23000,30691000
2022-10-18,137.09000,137.84000,131.39999,132.80000,25445000
2022-10-17,130.30000,134.78999,130.17999,134.03999,29612200
2022-10-14,131.00000,131.78999,126.52000,126.76000,23538600
2022-10-13,123.53000,131.14000,122.53000,130.28999,34325700
2022-10-12,128.32001,129.67000,126.25000,127.50000,34605200
2022-10-11,131.62000,132.66000,126.99000,128.53999,38481400
2022-10-10,133.55000,136.11000,131.87000,133.78999,24024000
2022-10-07,136.75999,138.28999,132.44000,133.45000,33179700
2022-10-06,137.72000,141.45000,136.60001,139.07001,36231100
2022-10-05,138.24001,140.21001,134.78000,138.98000,27979300
2022-10-04,140.49001,142.39000,139.34000,140.28000,34670700
2022-10-03,137.14000,139.62000,136.10001,138.61000,27723100
2022-09-30,136.05000,140.99001,135.50000,135.67999,33132400
2022-09-29,139.36000,139.84000,135.20000,136.41000,38985400
2022-09-28,134.62000,142.03000,134.27000,141.61000,32658500
2022-09-27,137.92000,139.42000,134.12000,134.39999,30826500
2022-09-26,140.12000,142.24001,136.19000,136.37000,30497000
2022-09-23,141.42000,142.62000,138.89000,140.41000,31663300
2022-09-22,141.55000,144.58000,140.87000,142.82001,34418500
2022-09-21,146.39000,149.60001,142.00000,142.12000,38338600
2022-09-20,145.78000,148.84000,145.22000,146.09000,23217400
2022-09-19,145.24001,148.58000,145.10001,148.02000,22169500
2022-09-16,148.05000,148.58000,144.28999,146.28999,40018700
2022-09-15,149.80000,154.20000,148.70000,149.55000,34606300
2022-09-14,153.33000,153.53999,149.05000,151.47000,43064200
2022-09-13,161.53999,161.63000,152.67000,153.13000,44444100
2022-09-12,167.39000,171.39000,167.28000,168.96001,23220400
2022-09-09,163.25000,169.53999,163.02000,169.14999,22086800
2022-09-08,158.71001,162.23000,157.74001,162.06000,22530800
2022-09-07,157.75999,160.96001,156.81000,160.39000,16831200
2022-09-06,160.10001,161.69000,157.69000,158.53999,19339800
2022-09-02,167.45000,167.92999,159.22000,160.32001,22609100
2022-09-01,163.58000,167.36000,160.35001,165.36000,30145700
2022-08-31,167.07001,167.84000,162.14000,162.92999,40953000
2022-08-30,160.35001,161.66000,155.91000,157.16000,19567900
2022-08-29,160.66000,163.05000,159.00999,159.17000,20052700
2022-08-26,168.48000,170.92000,161.67000,161.78000,24023600
2022-08-25,165.17999,168.88000,164.02000,168.78000,15550500
2022-08-24,160.60001,165.46001,159.77000,163.25999,20891500
2022-08-23,162.48000,165.05000,160.70000,161.11000,18111800
2022-08-22,165.49001,165.49001,162.25999,163.05000,19499700
2022-08-19,170.20000,172.32001,167.05000,167.96001,26158300
2022-08-18,174.34000,175.75999,171.86000,174.66000,18844500
2022-08-17,176.75999,178.14000,174.17000,174.85001,20118100
2022-08-16,179.44000,180.99001,177.03999,179.47000,21156700
2022-08-15,178.96001,181.44000,178.20000,180.89000,15878700
2022-08-12,180.81000,181.46001,178.91000,180.50000,21239600
2022-08-11,179.71001,183.10001,176.37000,177.49001,24079100
2022-08-10,175.99001,180.48000,173.95000,178.34000,30262100
2022-08-09,168.95000,169.53000,166.60001,168.53000,18655100
2022-08-08,168.00000,177.50999,167.13000,170.25000,27299100
2022-08-05,166.99001,171.61000,165.80000,167.11000,25816700
2022-08-04,168.30000,172.14999,166.80000,170.57001,23938200
2022-08-03,162.69000,169.53999,161.57001,168.80000,31721900
2022-08-02,158.31000,162.24001,158.00999,160.19000,27374500
2022-08-01,157.25000,165.19000,155.23000,159.92999,40596700
2022-07-29,157.69000,160.14000,155.17000,159.10001,42065400
2022-07-28,161.06000,161.50999,154.85001,160.72000,73214300
2022-07-27,162.59000,170.87000,162.02000,169.58000,43846600
2022-07-26,165.94000,166.00000,157.95000,159.14999,28468400
2022-07-25,169.00000,170.57001,164.81000,166.64999,26166300
2022-07-22,173.07001,175.60001,168.41000,169.27000,42526700
2022-07-21,180.63000,183.85001,178.87000,183.17000,27195800
2022-07-20,177.49001,183.60001,176.70000,183.09000,24784300
2022-07-19,170.37000,176.49001,169.50999,175.78000,25933700
2022-07-18,166.75000,171.69000,165.64000,167.23000,23574300
2022-07-15,160.53999,164.98000,159.82001,164.70000,23172800
2022-07-14,161.22000,162.59000,157.28000,158.05000,23765200
2022-07-13,160.16000,164.98000,159.61000,163.49001,16555100
2022-07-12,164.80000,165.91000,162.10001,163.27000,16639700
2022-07-11,167.07001,167.49001,161.91000,162.88000,21885600
2022-07-08,169.98000,172.39999,168.14999,170.88000,19236000
2022-07-07,169.45000,172.72000,167.78000,172.19000,24083400
2022-07-06,168.20000,171.59000,165.46001,169.77000,23085900
2022-07-05,158.14000,168.25000,157.02000,168.19000,28618600
2022-07-01,160.31000,160.62000,155.00000,160.03000,31400700
2022-06-30,162.14999,165.23000,158.49001,161.25000,35250600
2022-06-29,163.57001,166.33000,160.32001,163.94000,28595200
2022-06-28,169.89999,171.30000,160.61000,160.67999,27744500
2022-06-27,171.32001,171.75000,168.00999,169.49001,29174600
2022-06-24,161.73000,170.25000,161.30000,170.16000,61991200
2022-06-23,156.27000,159.75000,154.25000,158.75000,40499200
2022-06-22,158.38000,160.78999,155.44000,155.85001,47267800
2022-06-21,165.92999,167.75999,155.97000,157.05000,50724900
2022-06-17,161.67999,165.89999,159.89999,163.74001,31295300
2022-06-16,163.72000,165.08000,159.61000,160.87000,26944100
2022-06-15,167.20000,172.16000,163.98000,169.35001,30008300
2022-06-14,166.03000,166.75000,161.36000,163.73000,27244300
2022-06-13,170.59000,172.58000,164.03000,164.25999,31749300
2022-06-10,183.03999,183.10001,175.02000,175.57001,27450800
2022-06-09,194.28000,199.45000,183.67999,184.00000,23501600
2022-06-08,194.67000,202.03000,194.41000,196.64000,22267200
2022-06-07,191.92999,196.53000,191.49001,195.64999,18828700
2022-06-06,193.99001,196.92000,188.39999,194.25000,30574200
2022-06-03,195.98000,196.61000,189.78000,190.78000,19447300
2022-06-02,188.45000,200.94000,187.73000,198.86000,31951600
2022-06-01,196.50999,199.53000,185.00000,188.64000,36623500
2022-05-31,194.89000,197.60001,192.00999,193.64000,26131100
2022-05-27,191.36000,195.33000,189.80000,195.13000,22562700
2022-05-26,182.88000,192.83000,182.25999,191.63000,23056500
2022-05-25,180.39999,185.45000,179.32001,183.83000,28030200
2022-05-24,180.55000,183.67999,176.11000,181.28000,50406300
2022-05-23,195.19000,196.99001,191.24001,196.23000,25059200
2022-05-20,194.97000,197.91000,187.87000,193.53999,31465600
2022-05-19,191.20000,195.28999,189.60001,191.28999,24446900
2022-05-18,200.00000,201.00000,191.63000,192.24001,23960000
2022-05-17,202.12000,205.46001,198.36000,202.62000,24872700
2022-05-16,197.05000,205.37000,195.92999,200.03999,27112600
2022-05-13,192.58000,199.89000,191.28000,198.62000,24549800
2022-05-12,187.06000,198.05000,184.78000,191.24001,38262200
2022-05-11,196.33000,200.67000,188.27000,188.74001,31153400
2022-05-10,199.50999,202.96001,194.19000,197.64999,34452500
2022-05-09,199.84000,202.57001,195.58000,196.21001,36303200
2022-05-06,207.34000,209.38000,201.02000,203.77000,34747200
2022-05-05,218.74001,220.17000,206.16000,208.28000,41129200
2022-05-04,210.64999,224.30000,206.96001,223.41000,41375900
2022-05-03,210.45000,214.89999,208.09000,212.03000,41556300
2022-05-02,201.17000,211.88000,200.99001,211.13000,49915300
2022-04-29,204.46001,212.48000,199.89999,200.47000,49193400
2022-04-28,202.92000,208.53000,192.89999,205.73000,100890600
2022-04-27,174.42999,181.21001,169.00000,174.95000,71062900
2022-04-26,186.63000,187.19000,179.50000,180.95000,31747400
2022-04-25,182.73000,187.17999,181.66000,186.99001,29281100
2022-04-22,190.37000,192.72000,183.27000,184.11000,36426800
2022-04-21,201.60001,202.97000,185.58000,188.07001,49954100
2022-04-20,213.61000,214.16000,198.92000,200.42000,43036500
2022-04-19,210.52000,218.42999,209.00000,217.31000,20089900
2022-04-18,210.00000,213.38000,208.30000,210.77000,16580800
2022-04-14,214.89000,214.99001,210.00000,210.17999,18379500
2022-04-13,211.82001,216.61000,211.33000,214.99001,19231800
2022-04-12,220.24001,222.03000,213.13000,214.14000,20128800
2022-04-11,218.42000,220.61000,215.22000,216.46001,20516600
2022-04-08,222.38000,225.13000,220.03000,222.33000,18375700
2022-04-07,223.92999,225.52000,218.56000,222.95000,21037200
2022-04-06,226.91000,228.99001,221.41000,223.30000,28995100
2022-04-05,234.08000,236.86000,231.02000,231.84000,29727200
2022-04-04,225.98000,234.35001,225.86000,233.89000,28054800
2022-04-01,224.55000,227.28000,222.70000,224.85001,19544800
2022-03-31,228.45000,228.49001,222.25999,222.36000,24192300
2022-03-30,228.91000,231.14999,226.71001,227.85001,25588000
2022-03-29,226.07001,230.89000,225.28999,229.86000,31417900
2022-03-28,222.13000,224.03999,219.53999,223.59000,26224100
2022-03-25,220.50999,225.50000,218.89000,221.82001,40039000
2022-03-24,215.00000,220.67000,214.78999,219.57001,31502300
2022-03-23,213.33000,216.80000,212.16000,213.46001,23717300
2022-03-22,211.37000,219.46001,210.17999,216.64999,31998800
2022-03-21,214.50000,214.71001,207.63000,211.49001,30142300
2022-03-18,206.70000,216.80000,206.00000,216.49001,52128000
2022-03-17,201.70000,208.03999,201.11000,207.84000,29499700
2022-03-16,194.70000,203.73000,194.52000,203.63000,40640300
2022-03-15,190.80000,192.28000,185.91000,192.03000,31721700
2022-03-14,187.03000,192.28999,185.82001,186.63000,31010500
2022-03-11,192.64000,193.56000,186.67000,187.61000,34694500
2022-03-10,194.84000,196.28000,191.07001,195.21001,24853000
2022-03-09,195.74001,199.10001,193.92000,198.50000,31894700
2022-03-08,187.85001,196.70000,186.11000,190.28999,37508100
2022-03-07,200.78999,200.89000,187.28000,187.47000,38560600
2022-03-04,202.37000,205.89000,198.78999,200.06000,32130900
2022-03-03,209.02000,209.08000,201.42000,202.97000,27263500
2022-03-02,204.78000,209.14999,202.02000,208.11000,29452100
2022-03-01,209.87000,211.75000,202.22000,203.49001,27094900
2022-02-28,207.67999,213.14999,206.83000,211.03000,34239800
2022-02-25,204.94000,211.32001,203.17999,210.48000,37627600
2022-02-24,191.06000,208.35001,190.22000,207.60001,49957200
2022-02-23,204.16000,206.94000,198.05000,198.45000,44481400
2022-02-22,202.34000,207.48000,200.06000,202.08000,39852400
2022-02-18,209.39000,210.75000,205.17999,206.16000,37128400
2022-02-17,214.02000,217.50000,207.16000,207.71001,38747500
2022-02-16,212.41000,217.46001,212.36000,216.53999,45817500
2022-02-15,220.47000,221.14999,215.06000,221.00000,42685500
2022-02-14,219.31000,221.00000,214.78000,217.70000,38184000
2022-02-11,228.46001,230.42000,218.77000,219.55000,46156900
2022-02-10,228.27000,235.00000,226.70000,228.07001,49310400
2022-02-09,224.20000,233.37000,222.21001,232.00000,86563300
2022-02-08,220.85001,225.77000,216.14999,220.17999,94729700
2022-02-07,237.70000,238.30000,224.00999,224.91000,88613800
2022-02-04,234.97000,242.61000,230.11000,237.09000,89342200
2022-02-03,244.64999,248.00000,235.75000,237.75999,188119900
2022-02-02,327.82001,328.00000,316.87000,323.00000,58458300
2022-02-01,314.56000,319.66000,312.12000,319.00000,18023800
2022-01-31,300.67999,313.79001,299.32001,313.26001,21579500
2022-01-28,295.62000,301.89999,293.03000,301.70999,21871600
2022-01-27,297.75000,301.70999,294.26001,294.64001,21629900
2022-01-26,307.01001,307.51001,290.85001,294.63000,28348800
