high,low,open,close,volume,date,ticker,close_prediction
193.4400024,189.4700012,191.9100037,190.4199982,13473000,2019-11-07,META,196.1588712
192.3399963,189.6999969,190,190.8399963,10760800,2019-11-08,META,196.6333895
190.0800018,188.5399933,189.9299927,189.6100006,8631200,2019-11-11,META,198.4973881
195.0599976,189.7400055,190,194.4700012,17615500,2019-11-12,META,199.0415013
195.6999969,192.7400055,194.6999969,193.1900024,10860700,2019-11-13,META,199.8681863
194.0299988,191.4499969,192.9299927,193.1499939,9040500,2019-11-14,META,199.3874229
195.3000031,193.3800049,194.2599945,195.1000061,11524300,2019-11-15,META,199.9045212
198.6300049,193.0500031,194.5599976,197.3999939,16167200,2019-11-18,META,201.6394404
200,196.8600006,197.3999939,199.3200073,19056800,2019-11-19,META,202.0611123
199.5899963,195.4299927,198.5800018,197.5099945,12355400,2019-11-20,META,202.7314858
199.0899963,196.8600006,197.4199982,197.9299927,12131000,2019-11-21,META,202.0654506
199.3000031,197.6199951,198.3800049,198.8200073,9959800,2019-11-22,META,202.3739609
200.9700012,199.25,199.5200043,199.7899933,15272300,2019-11-25,META,203.4070384
200.1499939,198.0399933,200,198.9700012,11735500,2019-11-26,META,203.5918409
203.1399994,199.4199982,199.8999939,202,12736600,2019-11-27,META,204.0350286
203.8000031,201.2100067,201.6000061,201.6399994,7985200,2019-11-29,META,203.2767188
202.1799927,198.0500031,202.1300049,199.6999969,11503400,2019-12-02,META,203.9182312
198.9299927,195.0800018,197.6000061,198.8200073,11595300,2019-12-03,META,204.0429093
200.0299988,198.0500031,200,198.7100067,8456300,2019-12-04,META,204.4644805
201.2899933,198.2100067,199.8600006,199.3600006,9740400,2019-12-05,META,203.6045846
201.5700073,200.0599976,200.5,201.0500031,12270600,2019-12-06,META,203.7794161
203.1399994,200.2100067,200.6499939,201.3399963,11954800,2019-12-09,META,204.8004263
202.0500031,200.1499939,201.6600037,200.8699951,9475700,2019-12-10,META,205.1117785
202.6300049,200.2799988,200.2799988,202.2599945,8036800,2019-12-11,META,205.7431811
203.6600037,194.1000061,202.3500061,196.75,23734800,2019-12-12,META,205.1113488
196.8000031,193.1699982,196.3999939,194.1100006,18798000,2019-12-13,META,205.5272275
199.1199951,194.8099976,195.2700043,197.9199982,14911500,2019-12-16,META,207.2948297
199,196.1300049,198.8399963,198.3899994,10175700,2019-12-17,META,207.8449965
204.3000031,200.0899963,200.0899963,202.5,23274400,2019-12-18,META,208.7018281
206.3000031,202.5099945,202.7799988,206.0599976,16514600,2019-12-19,META,208.2775901
