https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOT
1666915200000,2022-10-28 00:00:00,DOT/USD,6.3329,6.3749,6.2757,6.3642,26980.330813595203,4239.39078181
1666828800000,2022-10-27 00:00:00,DOT/USD,6.468,6.645,6.2858,6.3328,535687.0484103449,84589.28884701
1666742400000,2022-10-26 00:00:00,DOT/USD,6.4441,6.6221,6.415,6.468,647436.7335757398,100098.44365735
1666656000000,2022-10-25 00:00:00,DOT/USD,5.922,6.6308,5.9004,6.4417,1382692.992724371,214647.21932477
1666569600000,2022-10-24 00:00:00,DOT/USD,5.9658,5.9918,5.8089,5.922,346625.2151126465,58531.78235607
1666483200000,2022-10-23 00:00:00,DOT/USD,5.85,5.9819,5.7565,5.9649,521522.7040916593,87431.92745757
1666396800000,2022-10-22 00:00:00,DOT/USD,5.8373,5.8735,5.7728,5.8528,315309.89937116276,53873.34256615
1666310400000,2022-10-21 00:00:00,DOT/USD,5.8878,5.8962,5.7348,5.8373,816640.9858346459,139900.46525528
1666224000000,2022-10-20 00:00:00,DOT/USD,6.098,6.1533,5.8299,5.8876,1292611.5726999445,219548.13042665
1666137600000,2022-10-19 00:00:00,DOT/USD,6.1633,6.2565,6.0686,6.1057,576376.0644867547,94399.66989645
1666051200000,2022-10-18 00:00:00,DOT/USD,6.26,6.3014,6.0722,6.1572,547208.6584866027,88872.97123475
1665964800000,2022-10-17 00:00:00,DOT/USD,6.1805,6.2953,6.1273,6.2503,382494.0531268261,61196.11108696
1665878400000,2022-10-16 00:00:00,DOT/USD,6.0485,6.2443,6.0479,6.1892,341416.7340778513,55163.30609414
1665792000000,2022-10-15 00:00:00,DOT/USD,6.0429,6.0986,6.021,6.0443,253987.5870340362,42021.00938637
1665705600000,2022-10-14 00:00:00,DOT/USD,6.1137,6.2704,6.0151,6.0436,473457.2509519268,78340.26920245
1665619200000,2022-10-13 00:00:00,DOT/USD,6.1717,6.1789,5.6557,6.1137,1362429.2576747513,222848.56268295
1665532800000,2022-10-12 00:00:00,DOT/USD,6.18,6.2335,6.1332,6.176,432441.23007204576,70019.62922151
1665446400000,2022-10-11 00:00:00,DOT/USD,6.2508,6.2508,6.1233,6.1758,222385.51340251157,36009.18316696
1665360000000,2022-10-10 00:00:00,DOT/USD,6.4819,6.5406,6.2429,6.2507,422688.1651608915,67622.53270208
1665273600000,2022-10-09 00:00:00,DOT/USD,6.3119,6.4943,6.2851,6.4752,532518.1509452689,82239.64525347
1665187200000,2022-10-08 00:00:00,DOT/USD,6.3261,6.3935,6.2691,6.3121,311834.08931062155,49402.59015393
1665100800000,2022-10-07 00:00:00,DOT/USD,6.3428,6.3953,6.2546,6.334,266480.70289989124,42071.47188189
1665014400000,2022-10-06 00:00:00,DOT/USD,6.4375,6.5174,6.3142,6.341,365697.9901010173,57671.97446791
1664928000000,2022-10-05 00:00:00,DOT/USD,6.4987,6.5033,6.2711,6.435,294265.0357510149,45728.83228454
1664841600000,2022-10-04 00:00:00,DOT/USD,6.3702,6.5389,6.3473,6.4932,592985.0826117287,91324.01321563
1664755200000,2022-10-03 00:00:00,DOT/USD,6.1607,6.4067,6.0932,6.3703,1286007.372410985,201875.48034017
1664668800000,2022-10-02 00:00:00,DOT/USD,6.268,6.3238,6.1271,6.1614,732094.6950164101,118819.53695855
1664582400000,2022-10-01 00:00:00,DOT/USD,6.3221,6.3354,6.2124,6.2725,644331.2438430612,102723.19551105
1664496000000,2022-09-30 00:00:00,DOT/USD,6.4451,6.5687,6.2177,6.3223,716678.7374909194,113357.28097226
1664409600000,2022-09-29 00:00:00,DOT/USD,6.39,6.4885,6.2656,6.4379,669216.8761147643,103949.56058882
1664323200000,2022-09-28 00:00:00,DOT/USD,6.3724,6.4691,6.1786,6.3917,545642.9459504535,85367.4211791
1664236800000,2022-09-27 00:00:00,DOT/USD,6.565,6.8075,6.25,6.3744,1333844.8398787177,209250.25726009
1664150400000,2022-09-26 00:00:00,DOT/USD,6.2047,6.5867,6.164,6.5612,881727.8568596652,134385.1516277
1664064000000,2022-09-25 00:00:00,DOT/USD,6.2736,6.373,6.0915,6.2096,423084.47088393295,68133.93308489
1663977600000,2022-09-24 00:00:00,DOT/USD,6.441,6.5089,6.2415,6.2781,507242.5651820987,80795.55362006
1663891200000,2022-09-23 00:00:00,DOT/USD,6.446,6.6395,6.2,6.4347,755981.5069548035,117485.12082223
1663804800000,2022-09-22 00:00:00,DOT/USD,6.1281,6.5253,6.0864,6.4477,478064.78817289113,74145.01111604
