datetime,open,high,low,close,volume
2022-10-25,102.90000,104.82000,102.72000,104.48000,40611400
2022-10-24,101.80000,102.75000,99.98000,102.52000,27176400
2022-10-21,97.85000,101.31000,97.72000,101.13000,32424700
2022-10-20,100.00000,102.32000,99.39000,99.97000,25323200
2022-10-19,100.01000,101.02000,98.92000,99.63000,23811100
2022-10-18,103.13000,103.47000,99.97000,100.77000,24060700
2022-10-17,98.86000,100.93000,98.83000,99.97000,28419200
2022-10-14,99.99000,100.69000,96.37000,96.56000,25388100
2022-10-13,95.15000,99.78000,94.38000,99.06000,34574500
2022-10-12,97.30000,98.75000,96.74000,97.56000,21876400
2022-10-11,97.43000,99.25000,96.31000,97.18000,26507100
2022-10-10,99.00000,99.10000,97.01000,97.86000,18225100
2022-10-07,99.85000,100.53000,98.30000,98.68000,27481800
2022-10-06,100.68000,102.93000,100.59000,101.42000,22324000
2022-10-05,99.83000,101.93000,98.80000,101.43000,22176900
2022-10-04,100.44000,101.84000,100.38000,101.64000,28850800
2022-10-03,96.76000,99.29000,96.52000,98.64000,27982000
2022-09-30,97.05000,98.90000,95.56000,95.65000,32910100
2022-09-29,98.64000,98.64000,95.96000,97.42000,31047200
2022-09-28,97.65000,100.70000,97.11000,100.05000,32466300
2022-09-27,99.43000,100.00000,96.87000,97.50000,30072800
2022-09-26,98.10000,99.88000,97.80000,98.17000,27072700
2022-09-23,99.63000,99.66000,97.47000,98.74000,31602900
2022-09-22,98.82000,101.24000,98.79000,100.14000,34298600
2022-09-21,101.67000,102.88000,99.27000,99.28000,31487300
2022-09-20,102.08000,102.37000,100.52000,101.14000,26517100
2022-09-19,101.75000,103.33000,101.55000,103.07000,23036800
2022-09-16,102.07000,103.13000,100.94000,102.80000,42780300
2022-09-15,104.03000,105.27000,102.35000,102.91000,34188300
2022-09-14,104.57000,105.28000,103.66000,105.00000,26395100
2022-09-13,107.80000,108.30000,104.09000,104.32000,38172900
2022-09-12,110.99000,111.62000,109.93000,110.86000,22966800
2022-09-09,109.07000,110.99000,109.02000,110.65000,23197700
2022-09-08,108.04000,109.60000,107.16000,108.38000,24238300
2022-09-07,107.06000,109.98000,106.90000,109.45000,23167000
2022-09-06,107.30000,108.03000,105.78000,106.81000,25068300
2022-09-02,110.59000,110.74000,107.26000,107.85000,24142000
2022-09-01,108.28000,110.45000,107.36000,109.74000,28360900
2022-08-31,110.65000,110.85000,108.13000,108.22000,28627000
2022-08-30,110.17000,110.50000,107.80000,108.94000,27513300
2022-08-29,109.99000,110.95000,108.80000,109.42000,21191200
2022-08-26,114.72000,115.12000,110.19000,110.34000,37245700
2022-08-25,114.24000,116.72000,114.11000,116.65000,16956800
2022-08-24,113.50000,114.78000,112.87000,113.69000,17734600
2022-08-23,113.48000,115.01000,113.43000,113.86000,15870400
2022-08-22,115.20000,115.63000,113.85000,114.24000,21456600
2022-08-19,119.06000,119.15000,116.76000,117.21000,21793200
2022-08-18,119.43000,120.82000,118.72000,120.17000,17987700
2022-08-17,120.12000,121.29000,119.38000,119.55000,22847000
