datetime,open,high,low,close,volume
2022-10-25,150.09000,152.49001,149.36000,152.34000,74732300
2022-10-24,147.19000,150.23000,146.00000,149.45000,75981900
2022-10-21,142.87000,147.85001,142.64999,147.27000,86464700
2022-10-20,143.02000,145.89000,142.64999,143.39000,64522000
2022-10-19,141.69000,144.95000,141.50000,143.86000,61758300
2022-10-18,145.49001,146.70000,140.61000,143.75000,99136600
2022-10-17,141.07001,142.89999,140.27000,142.41000,85250900
2022-10-14,144.31000,144.52000,138.19000,138.38000,88512300
2022-10-13,134.99001,143.59000,134.37000,142.99001,113224000
2022-10-12,139.13000,140.36000,138.16000,138.34000,70433700
2022-10-11,139.89999,141.35001,138.22000,138.98000,77033700
2022-10-10,140.42000,141.89000,138.57001,140.42000,74899000
2022-10-07,142.53999,143.10001,139.45000,140.09000,85859100
2022-10-06,145.81000,147.53999,145.22000,145.42999,68402200
2022-10-05,144.07001,147.38000,143.00999,146.39999,79471000
2022-10-04,145.03000,146.22000,144.25999,146.10001,87830100
2022-10-03,138.21001,143.07001,137.69000,142.45000,114311700
2022-09-30,141.28000,143.10001,138.00000,138.20000,124705400
2022-09-29,146.10001,146.72000,140.67999,142.48000,128138200
2022-09-28,147.64000,150.64000,144.84000,149.84000,146691400
2022-09-27,152.74001,154.72000,149.95000,151.75999,84442700
2022-09-26,149.66000,153.77000,149.64000,150.77000,93339400
2022-09-23,151.19000,151.47000,148.56000,150.42999,95939200
2022-09-22,152.38000,154.47000,150.91000,152.74001,86652500
2022-09-21,157.34000,158.74001,153.60001,153.72000,101696800
2022-09-20,153.39999,158.08000,153.08000,156.89999,107689800
2022-09-19,149.31000,154.56000,149.10001,154.48000,81474200
2022-09-16,151.21001,151.35001,148.37000,150.70000,162157000
2022-09-15,154.64999,155.24001,151.38000,152.37000,90481100
2022-09-14,154.78999,157.10001,153.61000,155.31000,87965400
2022-09-13,159.89999,160.53999,153.37000,153.84000,122656600
2022-09-12,159.59000,164.25999,159.30000,163.42999,104956000
2022-09-09,155.47000,157.82001,154.75000,157.37000,68028800
2022-09-08,154.64000,156.36000,152.67999,154.46001,84923800
2022-09-07,154.82001,156.67000,153.61000,155.96001,87449600
2022-09-06,156.47000,157.09000,153.69000,154.53000,73714800
2022-09-02,159.75000,160.36000,154.97000,155.81000,76905200
2022-09-01,156.64000,158.42000,154.67000,157.96001,74229900
2022-08-31,160.31000,160.58000,157.14000,157.22000,87991100
2022-08-30,162.13000,162.56000,157.72000,158.91000,77906200
2022-08-29,161.14999,162.89999,159.82001,161.38000,73314000
2022-08-26,170.57001,171.05000,163.56000,163.62000,78961000
2022-08-25,168.78000,170.14000,168.35001,170.03000,51218200
2022-08-24,167.32001,168.11000,166.25000,167.53000,53841500
2022-08-23,167.08000,168.71001,166.64999,167.23000,54147100
2022-08-22,169.69000,169.86000,167.14000,167.57001,69026800
2022-08-19,173.03000,173.74001,171.31000,171.52000,70211500
2022-08-18,173.75000,174.89999,173.12000,174.14999,62290100
2022-08-17,172.77000,176.14999,172.57001,174.55000,79542000
2022-08-16,172.78000,173.71001,171.66000,173.03000,56377100
2022-08-15,171.52000,173.39000,171.35001,173.19000,54091700
2022-08-12,169.82001,172.17000,169.39999,172.10001,67946400
2022-08-11,170.06000,170.99001,168.19000,168.49001,57149200
2022-08-10,167.67999,169.34000,166.89999,169.24001,70170500
2022-08-09,164.02000,165.82001,163.25000,164.92000,63135500
2022-08-08,166.37000,167.81000,164.20000,164.87000,60276900
2022-08-05,163.21001,165.85001,163.00000,165.35001,56646600
2022-08-04,166.00999,167.19000,164.42999,165.81000,55474100
2022-08-03,160.84000,166.59000,160.75000,166.13000,82507500
2022-08-02,160.10001,162.41000,159.63000,160.00999,59907000
2022-08-01,161.00999,163.59000,160.89000,161.50999,67829400
2022-07-29,161.24001,163.63000,159.50000,162.50999,101689200
2022-07-28,156.98000,157.64000,154.41000,157.35001,81378700
2022-07-27,152.58000,157.33000,152.16000,156.78999,78620700
2022-07-26,152.25999,153.09000,150.80000,151.60001,55138700
2022-07-25,154.00999,155.03999,152.28000,152.95000,53623900
2022-07-22,155.39000,156.28000,153.41000,154.09000,66625400
2022-07-21,154.50000,155.57001,151.94000,155.35001,65086600
2022-07-20,151.12000,153.72000,150.37000,153.03999,64823400
2022-07-19,147.92000,151.23000,146.91000,151.00000,82982400
2022-07-18,150.74001,151.57001,146.70000,147.07001,81420900
2022-07-15,149.78000,150.86000,148.20000,150.17000,76030800
2022-07-14,144.08000,148.95000,143.25000,148.47000,78140700
2022-07-13,142.99001,146.45000,142.12000,145.49001,71185600
2022-07-12,145.75999,148.45000,145.05000,145.86000,77588800
2022-07-11,145.67000,146.64000,143.78000,144.87000,63141600
2022-07-08,145.25999,147.55000,145.00000,147.03999,64493200
2022-07-07,143.28999,146.55000,143.28000,146.35001,66253700
2022-07-06,141.35001,144.12000,141.08000,142.92000,74064300
2022-07-05,137.77000,141.61000,136.92999,141.56000,73353800
2022-07-01,136.03999,139.03999,135.66000,138.92999,71007500
2022-06-30,137.25000,138.37000,133.77000,136.72000,98964500
2022-06-29,137.46001,140.67000,136.67000,139.23000,66242400
2022-06-28,142.13000,143.42000,137.32001,137.44000,67083400
2022-06-27,142.70000,143.49001,140.97000,141.66000,70207900
2022-06-24,139.89999,141.91000,139.77000,141.66000,89116800
2022-06-23,136.82001,138.59000,135.63000,138.27000,72433800
