datetime,open,high,low,close,volume
2022-10-25,210.10001,224.35001,210.00000,222.42000,96507900
2022-10-24,205.82001,213.50000,198.59000,211.25000,100446800
2022-10-21,206.42000,214.66000,203.80000,214.44000,75529300
2022-10-20,208.28000,215.55000,202.00000,207.28000,117798100
2022-10-19,219.80000,222.92999,217.78000,222.03999,66571500
2022-10-18,229.50000,229.82001,217.25000,220.19000,75891900
2022-10-17,210.03999,221.86000,209.45000,219.35001,79428800
2022-10-14,224.00999,226.25999,204.16000,204.99001,93898700
2022-10-13,208.30000,222.99001,206.22000,221.72000,91483000
2022-10-12,215.33000,219.30000,211.50999,217.24001,66860700
2022-10-11,220.95000,225.75000,215.00000,216.50000,77013200
2022-10-10,223.92999,226.99001,218.36000,222.96001,67925000
2022-10-07,233.94000,234.57001,222.02000,223.07001,83592300
2022-10-06,239.44000,244.58000,235.35001,238.13000,69298400
2022-10-05,245.00999,246.67000,233.27000,240.81000,86982700
2022-10-04,250.52000,257.50000,242.00999,249.44000,109578500
2022-10-03,254.50000,255.16000,241.00999,242.39999,98363500
2022-09-30,266.14999,275.57001,262.47000,265.25000,67517800
2022-09-29,282.76001,283.64999,265.78000,268.20999,77620600
2022-09-28,283.07999,289.00000,277.57001,287.81000,54664800
2022-09-27,283.84000,288.67001,277.51001,282.94000,61925200
2022-09-26,271.82999,284.09000,270.31000,276.01001,58076900
2022-09-23,283.09000,284.50000,272.82001,275.32999,63615400
2022-09-22,299.85999,301.29001,285.82001,288.59000,70545400
2022-09-21,308.29001,313.79999,300.63000,300.79999,62555700
2022-09-20,306.91000,313.32999,305.57999,308.73001,61642800
2022-09-19,300.09000,309.84000,297.79999,309.07001,60231200
2022-09-16,299.60999,303.70999,295.60001,303.35001,86949500
2022-09-15,301.82999,309.12000,300.72000,303.75000,64795500
2022-09-14,292.23999,306.00000,291.64001,302.60999,72628700
2022-09-13,292.89999,297.39999,290.39999,292.13000,68229600
2022-09-12,300.72000,305.48999,300.39999,304.42001,48674600
2022-09-09,291.67001,299.85001,291.25000,299.67999,54338100
2022-09-08,281.29999,289.50000,279.76001,289.26001,53713100
2022-09-07,273.10001,283.84000,272.26999,283.70001,50028900
2022-09-06,272.67999,275.98999,265.73999,274.42001,55860000
2022-09-02,281.07001,282.35001,269.07999,270.20999,50752200
2022-09-01,272.57999,277.57999,266.14999,277.16000,54287000
2022-08-31,280.62000,281.25000,271.81000,275.60999,52107300
2022-08-30,287.87000,288.48001,272.64999,277.70001,50541800
2022-08-29,282.82999,287.73999,280.70001,284.82001,41864700
2022-08-26,297.42999,302.00000,287.47000,288.09000,57163900
2022-08-25,302.35999,302.95999,291.60001,296.07001,53230000
2022-08-24,297.56332,303.64667,296.50000,297.09668,57259800
2022-08-23,291.45334,298.82666,287.92334,296.45334,63984900
2022-08-22,291.91333,292.39999,286.29666,289.91333,55843200
2022-08-19,299.00000,300.35999,292.50000,296.66666,61395300
2022-08-18,306.00000,306.50000,301.85333,302.87000,47500500
2022-08-17,303.39667,309.65668,300.03333,303.99667,68766000
2022-08-16,311.66666,314.66666,302.88333,306.56332,88136400
2022-08-15,301.78668,313.13333,301.23001,309.32001,89359200
2022-08-12,289.41666,300.16000,285.03333,300.03000,79657200
2022-08-11,296.51334,298.23666,285.83334,286.63000,70155000
2022-08-10,297.06668,297.51001,283.37000,294.35666,94918800
2022-08-09,290.29333,292.39667,279.35333,283.33334,86244600
2022-08-08,295.00000,305.20001,289.08667,290.42334,98994000
2022-08-05,302.67001,304.60666,285.54333,288.17001,113172900
2022-08-04,311.00000,313.60666,305.00000,308.63333,72256200
2022-08-03,305.00000,309.54999,301.14999,307.39667,80091000
2022-08-02,294.00333,307.83334,292.66666,300.58667,95577600
2022-08-01,301.27667,311.87668,295.00000,297.27667,117042900
2022-07-29,280.70001,298.32001,279.10001,297.14999,95313000
2022-07-28,280.06668,283.29999,272.79999,280.89999,84723000
2022-07-27,263.81000,275.92667,261.79001,274.82001,88110000
2022-07-26,266.51334,267.31000,256.26334,258.85999,66820800
2022-07-25,272.21667,274.14667,267.39999,268.43332,64073400
2022-07-22,276.22000,280.78668,270.71332,272.24335,103472700
2022-07-21,255.10667,273.26666,254.86667,271.70667,142032300
2022-07-20,246.78334,250.66333,243.48334,247.50000,88864200
2022-07-19,245.00000,247.14000,236.97667,245.53000,80890200
2022-07-18,244.93666,250.51666,239.60333,240.54666,82537500
2022-07-15,240.00000,243.62334,236.89000,240.06667,69683100
2022-07-14,234.89667,238.65334,229.33333,238.31334,78557400
2022-07-13,225.50000,242.06000,225.03334,237.03999,97954500
2022-07-12,236.84666,239.77333,228.37000,233.07001,87930900
2022-07-11,252.10333,253.06334,233.62666,234.34334,99241200
2022-07-08,242.33333,254.98000,241.16000,250.76334,101854200
2022-07-07,233.92000,245.36333,232.21001,244.54333,81930600
2022-07-06,230.78000,234.56334,227.18666,231.73334,71853600
2022-07-05,223.00000,233.14667,216.16667,233.06667,84581100
2022-07-01,227.00000,230.23000,222.12000,227.26334,74460300
2022-06-30,224.50999,229.45667,218.86333,224.47333,94600500
2022-06-29,230.50000,231.17334,222.27333,228.49001,82897200
2022-06-28,244.48334,249.97000,232.34334,232.66333,90391200
2022-06-27,249.36667,252.07001,242.56667,244.92000,89178300
2022-06-24,237.47000,246.06667,236.08667,245.70667,95770800
2022-06-23,237.90666,239.31667,228.63667,235.07001,104202600
2022-06-22,234.50333,246.83333,233.82666,236.08667,101107500
2022-06-21,224.60333,243.57666,224.33333,237.03667,122793000
2022-06-17,213.43333,220.97000,213.19667,216.75999,92641800
2022-06-16,222.73666,225.16667,208.69333,213.10001,107390700
2022-06-15,220.91667,235.66333,218.14999,233.00000,119131800
2022-06-14,218.28667,226.33000,211.73666,220.89000,97988700
2022-06-13,223.16667,226.63333,214.68333,215.73666,102767400
2022-06-10,235.15666,239.50000,227.91333,232.23000,97536600
2022-06-09,249.34000,255.54666,239.32666,239.70667,96491400
2022-06-08,240.08667,249.96333,239.17667,241.86667,76210500
2022-06-07,234.00000,239.99667,230.09334,238.88667,72808500
2022-06-06,244.35333,244.86667,234.35001,238.28000,84204600
2022-06-03,243.22667,247.79666,233.41667,234.51666,112393800
2022-06-02,244.15666,264.20999,242.06667,258.33334,93473100
2022-06-01,251.72000,257.32666,243.64000,246.78999,77247900
2022-05-31,257.94666,259.60001,244.74333,252.75333,101914500
2022-05-27,241.08333,253.26666,240.17667,253.21001,89295000
2022-05-26,220.47333,239.55667,217.88667,235.91000,106003200
2022-05-25,207.95000,223.10667,207.67000,219.60001,92139300
2022-05-24,217.84334,217.97333,206.85667,209.38667,89092500
2022-05-23,218.34000,226.65334,212.68666,224.96666,88903500
2022-05-20,237.99667,240.52667,211.00000,221.30000,144973200
2022-05-19,235.66667,244.66667,231.37000,236.47333,90296700
2022-05-18,248.17334,253.50000,233.60333,236.60333,87811800
2022-05-17,249.12000,254.82666,242.95000,253.87000,80236200
2022-05-16,255.72000,256.58667,239.69667,241.45667,86098500
2022-05-13,257.82666,262.45001,250.52333,256.53000,92150700
2022-05-12,233.66667,253.22000,226.66667,242.66667,140313000
2022-05-11,265.00000,269.92334,242.39999,244.66667,97224600
2022-05-10,273.10333,275.12000,258.08334,266.67999,84401700
2022-05-09,278.81668,281.87668,260.38333,262.37000,90810300
2022-05-06,295.66666,296.00000,281.03668,288.54999,72903000
2022-05-05,313.00665,315.20001,285.89999,291.09332,92519100
2022-05-04,301.31332,318.50000,295.09332,317.54001,81643800
2022-05-03,301.06000,308.02667,296.19666,303.08334,63709500
2022-05-02,286.92334,302.12000,282.67667,300.98001,75781500
2022-04-29,300.75000,311.46667,290.00000,290.25333,88133100
2022-04-28,299.99335,300.00000,273.89999,292.50333,124948500
2022-04-27,299.52667,306.00000,292.45334,293.83667,76956300
2022-04-26,331.81000,333.33334,291.66666,292.14001,136133700
2022-04-25,326.32333,336.20667,325.10001,332.67334,68341200
2022-04-22,338.30334,344.95001,331.33334,335.01666,69696600
2022-04-21,358.24335,364.07333,332.14001,336.26001,105416400
2022-04-20,343.33334,344.66666,325.08334,325.73334,70711200
2022-04-19,335.01999,344.98001,331.77667,342.71667,49847700
2022-04-18,329.67667,338.30667,324.47000,334.76334,51715200
2022-04-14,333.09668,337.57001,327.39667,328.33334,58422300
2022-04-13,327.02667,342.07999,324.36667,340.79001,55121100
2022-04-12,332.54666,340.39667,325.53333,328.98334,65976000
2022-04-11,326.79999,336.15668,324.88000,325.31000,59357100
2022-04-08,347.73666,349.48001,340.81332,341.82999,55013700
2022-04-07,350.79666,358.86334,340.51334,352.42001,79447200
2022-04-06,357.82333,359.66666,342.56668,348.58667,89348400
2022-04-05,378.76666,384.29001,362.43332,363.75333,80075100
2022-04-04,363.12668,383.30334,357.51001,381.81668,82035900
2022-04-01,360.38333,364.91666,355.54666,361.53000,54263100
2022-03-31,364.85666,367.71332,358.88000,359.20001,48992700
2022-03-30,363.72333,371.31668,361.33334,364.66333,59865000
2022-03-29,369.32999,371.59000,357.70334,366.52335,73614900
2022-03-28,355.03333,365.95999,351.20001,363.94666,102506100
2022-03-25,336.00000,340.60001,332.44000,336.88000,62031600
2022-03-24,336.57666,341.49667,329.60001,337.97333,68920800
2022-03-23,326.64667,346.89999,325.46667,333.03668,120676200
2022-03-22,310.00000,332.62000,307.25000,331.32666,105868500
2022-03-21,304.99335,314.28333,302.36334,307.05334,81981600
2022-03-18,291.49667,302.61667,289.13000,301.79666,100414200
2022-03-17,276.99667,291.66666,275.23999,290.53333,66582900
2022-03-16,269.66666,280.66666,267.42001,280.07666,84028800
2022-03-15,258.42334,268.52335,252.19000,267.29666,66841200
2022-03-14,260.20334,266.89999,252.01334,255.45667,71152200
2022-03-11,280.06668,281.26666,264.59000,265.11667,67037100
2022-03-10,283.81668,284.81668,270.12000,279.43332,58648500
2022-03-09,279.82666,286.85333,277.33667,286.32333,59184000
2022-03-08,265.17667,283.32999,260.72333,274.79999,80399100
2022-03-07,285.43332,288.71332,268.19000,268.19333,72494100
2022-03-04,283.03333,285.21667,275.05334,279.42999,66999600
2022-03-03,292.92334,295.48001,277.53333,279.76334,61623600
2022-03-02,290.70999,295.49335,281.42334,293.29666,74643300
2022-03-01,289.89334,296.62668,284.59332,288.12332,74766900
2022-02-28,271.67001,292.28668,271.57001,290.14334,99006900
2022-02-25,269.74335,273.16666,260.79999,269.95667,76067700
2022-02-24,233.46333,267.49335,233.33333,266.92334,135322200
2022-02-23,276.81000,278.43332,253.52000,254.67999,95256900
2022-02-22,278.04333,285.57666,267.03333,273.84332,83288100
2022-02-18,295.33334,295.62332,279.20334,285.66000,68501700
2022-02-17,304.42001,306.16666,291.36667,292.11667,55178400
2022-02-16,304.68332,308.81000,300.40332,307.79666,51294300
2022-02-15,300.00000,307.66666,297.79333,307.47665,57286200
2022-02-14,287.19000,299.62668,284.38333,291.92001,67756500
2022-02-11,303.20999,305.32001,283.56668,286.66666,79645800
2022-02-10,302.79001,314.60333,298.89999,301.51666,66126900
2022-02-09,311.66666,315.42334,306.66666,310.66666,52259400
2022-02-08,301.84332,308.76334,298.26666,307.33334,50729100
2022-02-07,307.92999,315.92334,300.90332,302.44666,60994500
2022-02-04,299.07333,312.16666,293.72333,307.77335,73625400
2022-02-03,294.00000,312.33334,293.50665,297.04666,78855600
2022-02-02,309.39334,310.50000,296.47000,301.88666,66792900
2022-02-01,311.73666,314.56668,301.66666,310.41666,73138200
2022-01-31,290.90332,312.66333,287.35001,312.23999,104436000
2022-01-28,277.18668,285.83334,264.00333,282.11667,134789100
2022-01-27,311.12000,311.79666,276.33334,276.36667,147109500
2022-01-26,317.47665,329.23001,302.00000,312.47000,104867400
2022-01-25,304.73334,317.08667,301.07001,306.13333,86595900
2022-01-24,301.58667,311.17001,283.82333,310.00000,151565700
2022-01-21,332.11334,334.85001,313.50000,314.63333,103416000
2022-01-20,336.57666,347.22000,331.33334,332.09000,70488600
2022-01-19,347.23666,351.55667,331.66666,331.88333,75442500
2022-01-18,342.20334,356.92999,338.68668,343.50333,66743400
