indicator,date,rate
open,2022-11-03 16:01:00,25.32
high,2022-11-03 16:01:00,25.32
low,2022-11-03 16:01:00,25.32
close,2022-11-03 16:01:00,25.32
open,2022-11-03 16:00:00,25.29
high,2022-11-03 16:00:00,25.32
low,2022-11-03 16:00:00,25.29
close,2022-11-03 16:00:00,25.32
open,2022-11-03 15:59:00,25.3
high,2022-11-03 15:59:00,25.3
low,2022-11-03 15:59:00,25.29
close,2022-11-03 15:59:00,25.295
open,2022-11-03 15:58:00,25.305
high,2022-11-03 15:58:00,25.305
low,2022-11-03 15:58:00,25.29
close,2022-11-03 15:58:00,25.295
open,2022-11-03 15:57:00,25.305
high,2022-11-03 15:57:00,25.31
low,2022-11-03 15:57:00,25.3
close,2022-11-03 15:57:00,25.305
open,2022-11-03 15:56:00,25.305
high,2022-11-03 15:56:00,25.305
low,2022-11-03 15:56:00,25.3
close,2022-11-03 15:56:00,25.3
open,2022-11-03 15:55:00,25.325
high,2022-11-03 15:55:00,25.325
low,2022-11-03 15:55:00,25.31
close,2022-11-03 15:55:00,25.31
open,2022-11-03 15:54:00,25.335
high,2022-11-03 15:54:00,25.335
low,2022-11-03 15:54:00,25.3211
close,2022-11-03 15:54:00,25.3211
open,2022-11-03 15:53:00,25.3201
high,2022-11-03 15:53:00,25.335
low,2022-11-03 15:53:00,25.3201
close,2022-11-03 15:53:00,25.33
open,2022-11-03 15:52:00,25.33
high,2022-11-03 15:52:00,25.33
low,2022-11-03 15:52:00,25.32
close,2022-11-03 15:52:00,25.32
open,2022-11-03 15:51:00,25.355
high,2022-11-03 15:51:00,25.355
low,2022-11-03 15:51:00,25.33
close,2022-11-03 15:51:00,25.335
open,2022-11-03 15:50:00,25.355
high,2022-11-03 15:50:00,25.36
low,2022-11-03 15:50:00,25.35
close,2022-11-03 15:50:00,25.35
open,2022-11-03 15:49:00,25.365
high,2022-11-03 15:49:00,25.365
low,2022-11-03 15:49:00,25.355
close,2022-11-03 15:49:00,25.355
open,2022-11-03 15:48:00,25.365
high,2022-11-03 15:48:00,25.365
low,2022-11-03 15:48:00,25.36
close,2022-11-03 15:48:00,25.365
open,2022-11-03 15:47:00,25.36
high,2022-11-03 15:47:00,25.365
low,2022-11-03 15:47:00,25.36
close,2022-11-03 15:47:00,25.365
open,2022-11-03 15:46:00,25.35
high,2022-11-03 15:46:00,25.36
low,2022-11-03 15:46:00,25.35
close,2022-11-03 15:46:00,25.36
open,2022-11-03 15:45:00,25.37
